2016-06-04T09:53:45.530902
E0:43:DB	Shenzhen ViewAt Technology Co.,Ltd.
C0:B7:13	Beijing Xiaoyuer Technology Co. Ltd.
DC:A3:AC	RBcloudtech
44:65:6A	Mega Video Electronic(HK) Industry Co., Ltd
0C:91:60	Hui Zhou Gaoshengda Technology Co.,LTD
EC:A9:FA	GUANGDONG GENIUS TECHNOLOGY CO.,LTD.
30:0C:23	zte corporation
44:5F:8C	Intercel Group Limited
A4:8D:3B	Vizio, Inc
0C:75:6C	Anaren Microwave, Inc.
5C:51:88	Motorola Mobility LLC, a Lenovo Company
68:9A:B7	Atelier Vision Corporation
64:0D:E6	Petra Systems
28:37:13	Shenzhen 3Nod Digital Technology Co., Ltd.
7C:AB:25	MESMO TECHNOLOGY INC.
74:04:2B	Lenovo Mobile Communication (Wuhan) Company Limited
44:55:B1	HUAWEI TECHNOLOGIES CO.,LTD
A4:56:02	fenglian Technology Co.,Ltd.
D0:6A:1F	BSE CO.,LTD.
A8:80:38	ShenZhen MovingComm Technology Co., Limited
80:50:67	W & D TECHNOLOGY CORPORATION
40:28:14	RFI Engineering
10:2C:83	XIMEA
D4:68:BA	Shenzhen Sundray Technologies Company Limited
A4:7B:85	ULTIMEDIA Co Ltd,
CC:37:AB	Edgecore Networks Corportation
F8:0D:60	CANON INC.
E0:2C:B2	Lenovo Mobile Communication (Wuhan) Company Limited
DC:15:DB	Ge Ruili Intelligent Technology ( Beijing ) Co., Ltd.
30:F3:35	HUAWEI TECHNOLOGIES CO.,LTD
E8:91:20	Motorola Mobility LLC, a Lenovo Company
54:61:72	ZODIAC AEROSPACE SAS
54:CD:10	Panasonic Mobile Communications Co.,Ltd.
A4:A1:E4	Innotube, Inc.
70:68:79	Saijo Denki International Co., Ltd.
34:3D:98	JinQianMao Technology Co.,Ltd.
58:04:CB	Tianjin Huisun Technology Co.,Ltd.
1C:B7:2C	ASUSTek COMPUTER INC.
40:B8:37	Sony Mobile Communications AB
28:76:10	IgniteNet
68:A3:78	FREEBOX SAS
74:6A:3A	Aperi Corporation
18:44:E6	zte corporation
A8:D4:09	USA 111 Inc
30:89:D3	HONGKONG UCLOUDLINK NETWORK TECHNOLOGY LIMITED
4C:B7:6D	Novi Security
90:6C:AC	Fortinet, Inc.
00:32:3A	so-logic
64:DB:81	Syszone Co., Ltd.
C4:BA:A3	Beijing Winicssec Technologies Co., Ltd.
A0:13:CB	Fiberhome Telecommunication Technologies Co.,LTD
20:63:5F	Abeeway
E0:03:70	ShenZhen Continental Wireless Technology Co., Ltd.
70:9C:8F	Nero AG
80:74:59	K's Co.,Ltd.
CC:96:35	LVS Co.,Ltd.
70:01:36	FATEK Automation Corporation
E0:35:60	Challenger Supply Holdings, LLC
0C:B5:DE	Alcatel Lucent
04:C9:D9	EchoStar Technologies Corp
E4:CE:70	Health & Life co., Ltd.
EC:5A:86	Yulong Computer Telecommunication Scientific (Shenzhen) Co.,Ltd
F8:7A:EF	Rosonix Technology, Inc.
C4:3A:BE	Sony Mobile Communications AB
18:B1:69	Sonicwall
D4:68:4D	Ruckus Wireless
1C:C7:2D	Shenzhen Huapu Digital CO.,Ltd
38:D8:2F	zte corporation
C8:D7:79	Qingdao Haier Telecom Co.，Ltd
2C:A2:B4	Fortify Technologies, LLC
D8:74:95	zte corporation
8C:87:3B	Leica Camera AG
28:E4:76	Pi-Coral
9C:68:5B	Octonion SA
AC:AB:BF	AthenTek Inc.
5C:41:E7	Wiatec International Ltd.
DC:09:14	Talk-A-Phone Co.
14:29:71	NEMOA ELECTRONICS (HK) CO. LTD
B4:73:56	Hangzhou Treebear Networking Co., Ltd.
D8:8D:5C	Elentec
50:AD:D5	Dynalec Corporation
28:D9:8A	Hangzhou Konke Technology Co.,Ltd.
BC:4D:FB	Hitron Technologies. Inc
40:EA:CE	FOUNDER BROADBAND NETWORK SERVICE CO.,LTD
10:C6:7E	SHENZHEN JUCHIN TECHNOLOGY CO., LTD
3C:49:37	ASSMANN Electronic GmbH
90:45:06	Tokyo Boeki Medisys Inc.
80:A8:5D	Osterhout Design Group
9C:6C:15	Microsoft Corporation
EC:74:BA	Hirschmann Automation and Control GmbH
68:3C:7D	Magic Intelligence Technology Limited
60:12:8B	CANON INC.
EC:BA:FE	GIROPTIC
E8:44:7E	Bitdefender SRL
84:C3:E8	Vaillant GmbH
B8:8E:C6	Stateless Networks
14:6B:72	Shenzhen Fortune Ship Technology Co., Ltd.
40:A5:EF	Shenzhen Four Seas Global Link Network Technology Co., Ltd.
7C:7A:53	Phytrex Technology Corp.
48:86:E8	Microsoft Corporation
78:FC:14	B Communications Pty Ltd
88:E1:61	Art Beijing Science and Technology Development Co., Ltd.
B4:A9:FE	GHIA Technology (Shenzhen) LTD
70:0F:C7	SHENZHEN IKINLOOP TECHNOLOGY CO.,LTD.
EC:80:09	NovaSparks
64:00:2D	Powerlinq Co., LTD
10:12:18	Korins Inc.
B0:45:15	mira fitness,LLC.
30:75:12	Sony Mobile Communications AB
A4:9D:49	Ketra, Inc.
C0:98:79	Acer Inc.
1C:9E:CB	Beijing Nari Smartchip Microelectronics Company Limited
D4:8D:D9	Meld Technology, Inc
2C:37:96	CYBO CO.,LTD.
94:70:D2	WINFIRM TECHNOLOGY
2C:29:97	Microsoft Corporation
4C:E2:F1	sclak srl
34:4D:EA	zte corporation
90:8C:09	Total Phase
1C:7E:51	3bumen.com
60:C7:98	Verifone, Inc.
38:0E:7B	V.P.S. Thai Co., Ltd
38:F3:3F	TATSUNO CORPORATION
28:A5:EE	Shenzhen SDGI CATV Co., Ltd
94:CE:31	CTS Limited
4C:BB:58	Chicony Electronics Co., Ltd.
C4:00:06	Lipi Data Systems Ltd.
78:9C:E7	Shenzhen Aikede Technology Co., Ltd
5C:2E:D2	ABC(XiSheng) Electronics Co.,Ltd
D8:F7:10	Libre Wireless Technologies Inc.
68:F7:28	LCFC(HeFei) Electronics Technology co., ltd
DC:EC:06	Heimi Network Technology Co., Ltd.
88:70:EF	SC Professional Trading Co., Ltd.
10:2F:6B	Microsoft Corporation
AC:B7:4F	METEL s.r.o.
CC:F5:38	3isysnetworks
04:DE:DB	Rockport Networks Inc
68:F0:6D	ALONG INDUSTRIAL CO., LIMITED
54:F8:76	ABB AG
48:57:DD	Facebook
84:93:0C	InCoax Networks Europe AB
D4:7B:35	NEO Monitors AS
D8:FB:11	AXACORE
C8:D0:19	Shanghai Tigercel Communication Technology Co.,Ltd
18:A9:58	PROVISION THAI CO., LTD.
D8:DE:CE	ISUNG CO.,LTD
20:53:CA	Risk Technology Ltd
14:2B:D6	Guangdong Appscomm Co.,Ltd
B0:25:AA	Private
40:82:56	Continental Automotive GmbH
D8:66:EE	BOXIN COMMUNICATION CO.,LTD.
3C:18:9F	Nokia Corporation
28:29:CC	Corsa Technology Incorporated
FC:79:0B	Hitachi High Technologies America, Inc.
28:E6:E9	SIS Sat Internet Services GmbH
BC:4E:5D	ZhongMiao Technology Co., Ltd.
08:F7:28	GLOBO Multimedia Sp. z o.o. Sp.k.
70:72:0D	Lenovo Mobile Communication Technology Ltd.
84:01:A7	Greyware Automation Products, Inc
C4:C9:EC	Gugaoo   HK Limited
F4:06:A5	Hangzhou Bianfeng Networking Technology Co., Ltd.
4C:39:09	HPL Electric & Power Private Limited
7C:FE:4E	Shenzhen Safe vision Technology Co.,LTD
54:EF:92	Shenzhen Elink Technology Co., LTD
80:0E:24	ForgetBox
FC:E1:86	A3M Co., LTD
CC:B6:91	NECMagnusCommunications
40:16:7E	ASUSTek COMPUTER INC.
C8:9F:1D	SHENZHEN COMMUNICATION TECHNOLOGIES CO.,LTD
98:37:13	PT.Navicom Indonesia
AC:A9:19	TrekStor GmbH
84:85:0A	Hella Sonnen- und Wetterschutztechnik GmbH
18:30:09	Woojin Industrial Systems Co., Ltd.
60:81:F9	Helium Systems, Inc
34:C5:D0	Hagleitner Hygiene International GmbH
74:DB:D1	Ebay Inc
34:31:C4	AVM GmbH
DC:53:7C	Compal Broadband Networks, Inc.
A0:06:27	NEXPA System
30:33:35	Boosty
18:D5:B6	SMG Holdings LLC
C8:FF:77	Dyson Limited
C0:3D:46	Shanghai Mochui Network Technology Co., Ltd
DC:F1:10	Nokia Corporation
54:DF:00	Ulterius Technologies, LLC
E0:1D:38	Beijing HuaqinWorld Technology Co.,Ltd
D8:0C:CF	C.G.V. S.A.S.
14:3D:F2	Beijing Shidai Hongyuan Network Communication Co.,Ltd
B0:D5:9D	Shenzhen Zowee Technology Co., Ltd
C4:91:3A	Shenzhen Sanland Electronic Co., ltd.
A4:60:32	MRV Communications (Networks) LTD
20:5A:00	Coval
0C:20:26	noax Technologies AG
88:0F:B6	Jabil Circuits India Pvt Ltd,-EHTP unit
C4:62:6B	ZPT Vigantice
74:F8:5D	Berkeley Nucleonics Corp
48:EE:07	Silver Palm Technologies LLC
9C:FB:F1	MESOMATIC GmbH & Co.KG
94:C0:14	Sorter Sp. j. Konrad Grzeszczyk MichaA, Ziomek
10:27:BE	TVIP
20:87:AC	AES motomation
A8:24:EB	ZAO NPO Introtest
44:7E:76	Trek Technology (S) Pte Ltd
E8:FC:60	ELCOM Innovations Private Limited
1C:FC:BB	Realfiction ApS
B0:EC:8F	GMX SAS
C4:0E:45	ACK Networks,Inc.
5C:25:4C	Avire Global Pte Ltd
7C:1A:03	8Locations Co., Ltd.
48:18:42	Shanghai Winaas Co. Equipment Co. Ltd.
E8:17:FC	NIFTY Corporation
D0:9C:30	Foster Electric Company, Limited
78:FE:E2	Shanghai Diveo Technology Co., Ltd
38:6C:9B	Ivy Biomedical
E4:4C:6C	Shenzhen Guo Wei Electronic Co,. Ltd.
00:8B:43	RFTECH
2C:95:7F	zte corporation
24:26:42	SHARP Corporation.
28:22:46	Beijing Sinoix Communication Co., LTD
FC:16:07	Taian Technology(Wuxi) Co.,Ltd.
CC:89:FD	Nokia Corporation
E8:61:83	Black Diamond Advanced Technology, LLC
C4:82:4E	Changzhou Uchip Electronics Co., LTD.
24:A8:7D	Panasonic Automotive Systems Asia Pacific(Thailand)Co.,Ltd.
78:EC:74	Kyland-USA
28:C8:25	DellKing Industrial Co., Ltd
64:E8:92	Morio Denki Co., Ltd.
08:6D:F2	Shenzhen MIMOWAVE Technology Co.,Ltd
64:EB:8C	Seiko Epson Corporation
48:D0:CF	Universal Electronics, Inc.
DC:C7:93	Nokia Corporation
E0:3F:49	ASUSTek COMPUTER INC.
D8:EE:78	Moog Protokraft
F4:B6:E5	TerraSem Co.,Ltd
28:BB:59	RNET Technologies, Inc.
7C:8D:91	Shanghai Hongzhuo Information Technology co.,LTD
A8:81:F1	BMEYE B.V.
24:11:48	Entropix, LLC
30:B5:C2	TP-LINK TECHNOLOGIES CO.,LTD.
F8:5C:45	IC Nexus Co. Ltd.
04:DB:8A	Suntech International Ltd.
08:3F:76	Intellian Technologies, Inc.
0C:C4:7A	Super Micro Computer, Inc.
D0:63:4D	Meiko Maschinenbau GmbH &amp; Co. KG
88:C6:26	Logitech - Ultimate Ears
88:9C:A6	BTB Korea INC
B0:DA:00	CERA ELECTRONIQUE
44:70:98	MING HONG TECHNOLOGY (SHEN ZHEN) LIMITED
00:EE:BD	HTC Corporation
48:B5:A7	Glory Horse Industries Ltd.
DC:5E:36	Paterson Technology
50:E0:C7	TurControlSystme AG
9C:D6:43	D-Link International
28:FC:51	The Electric Controller and Manufacturing Co., LLC
34:A5:E1	Sensorist ApS
A4:E9:A3	Honest Technology Co., Ltd
C4:E9:2F	AB Sciex
9C:21:6A	TP-LINK TECHNOLOGIES CO.,LTD.
F8:62:AA	xn systems
A4:05:9E	STA Infinity LLP
6C:15:F9	Nautronix Limited
68:0A:D7	Yancheng Kecheng Optoelectronic Technology Co., Ltd
BC:88:93	VILLBAU Ltd.
64:3F:5F	Exablaze
E8:F2:26	MILLSON CUSTOM SOLUTIONS INC.
70:60:DE	LaVision GmbH
FC:FE:77	Hitachi Reftechno, Inc.
70:53:3F	Alfa Instrumentos Eletronicos Ltda.
44:8A:5B	Micro-Star INT'L CO., LTD.
68:19:3F	Digital Airways
5C:D6:1F	Qardio, Inc
90:20:83	General Engine Management Systems Ltd.
14:B1:26	Industrial Software Co
C0:35:80	A&R TECH
14:46:E4	AVISTEL
90:79:90	Benchmark Electronics Romania SRL
C4:93:80	Speedytel technology
B4:A8:2B	Histar Digital Electronics Co., Ltd.
60:A9:B0	Merchandising Technologies, Inc
00:7D:FA	Volkswagen Group of America
60:24:C1	Jiangsu Zhongxun Electronic Technology Co., Ltd
6C:5A:B5	TCL Technoly Electronics (Huizhou) Co., Ltd.
88:78:9C	Game Technologies SA
18:AA:45	Fon Technology
54:93:59	SHENZHEN TWOWING TECHNOLOGIES CO.,LTD.
28:44:30	GenesisTechnical Systems (UK) Ltd
98:43:DA	INTERTECH
28:57:67	Echostar Technologies Corp
B0:79:08	Cummings Engineering
04:CB:1D	Traka plc
B8:7A:C9	Siemens Ltd.
B0:98:9F	LG CNS
3C:30:0C	Dewar Electronics Pty Ltd
78:B5:D2	Ever Treasure Industrial Limited
A4:09:CB	Alfred Kaercher GmbH &amp; Co KG
C4:45:EC	Shanghai Yali Electron Co.,LTD
E8:61:1F	Dawning Information Industry Co.,Ltd
0C:A6:94	Sunitec Enterprise Co.,Ltd
14:60:80	zte corporation
98:6C:F5	zte corporation
78:49:1D	The Will-Burt Company
74:D4:35	GIGA-BYTE TECHNOLOGY CO.,LTD.
84:0F:45	Shanghai GMT Digital Technologies Co., Ltd
D8:27:0C	MaxTronic International Co., Ltd.
E8:04:10	Private
8C:08:8B	Remote Solution
A4:77:60	Nokia Corporation
24:A4:95	Thales Canada Inc.
88:36:12	SRC Computers, LLC
E0:A1:98	NOJA Power Switchgear Pty Ltd
CC:7B:35	zte corporation
04:D4:37	ZNV
CC:F4:07	EUKREA ELECTROMATIQUE SARL
BC:2B:D7	Revogi Innovation Co., Ltd.
24:EC:D6	CSG Science & Technology Co.,Ltd.Hefei
10:22:79	ZeroDesktop, Inc.
CC:4A:E1	fourtec -Fourier Technologies
A4:89:5B	ARK INFOSOLUTIONS PVT LTD
38:EC:11	Novatek Microelectronics Corp.
A8:CC:C5	Saab AB (publ)
98:8E:4A	NOXUS(BEIJING) TECHNOLOGY CO.,LTD
1C:41:58	Gemalto M2M GmbH
AC:D6:57	Shaanxi Guolian Digital TV Technology Co., Ltd.
54:1B:5D	Techno-Innov
78:CB:33	DHC Software Co.,Ltd
50:76:91	Tekpea, Inc.
C4:21:C8	KYOCERA Corporation
A4:C0:C7	ShenZhen Hitom Communication Technology Co..LTD
EC:22:57	JiangSu NanJing University Electronic Information Technology Co.,Ltd
34:1A:4C	SHENZHEN WEIBU ELECTRONICS CO.,LTD.
A0:9B:BD	Total Aviation Solutions Pty Ltd
E8:48:1F	Advanced Automotive Antennas
18:D6:CF	Kurth Electronic GmbH
E0:7F:88	EVIDENCE Network SIA
1C:7C:C7	Coriant GmbH
54:2C:EA	PROTECTRON
00:C5:DB	Datatech Sistemas Digitales Avanzados SL
10:9A:B9	Tosibox Oy
F8:42:FB	Yasuda Joho Co.,ltd.
88:73:98	K2E Tekpoint
68:EE:96	Cisco SPVTG
FC:60:18	Zhejiang Kangtai Electric Co., Ltd.
30:3E:AD	Sonavox Canada Inc
44:4A:65	Silverflare Ltd.
50:A0:BF	Alba Fiber Systems Inc.
3C:97:7E	IPS Technology Limited
F0:24:05	OPUS High Technology Corporation
D8:B0:4C	Jinan USR IOT Technology Co., Ltd.
64:6E:EA	Iskratel d.o.o.
04:3D:98	ChongQing QingJia Electronics CO.,LTD
E8:BB:3D	Sino Prime-Tech Limited
98:CD:B4	Virident Systems, Inc.
54:E3:B0	JVL Industri Elektronik
64:0B:4A	Digital Telecom Technology Limited
F4:20:12	Cuciniale GmbH
4C:21:D0	Sony Mobile Communications AB
18:10:4E	CEDINT-UPM
2C:7B:84	OOO Petr Telegin
54:05:36	Vivago Oy
2C:E6:CC	Ruckus Wireless
E0:FA:EC	Platan sp. z o.o. sp. k.
F0:8E:DB	VeloCloud Networks
B8:DC:87	IAI Corporation
7C:6F:F8	ShenZhen ACTO Digital Video Technology Co.,Ltd.
8C:4B:59	3D Imaging & Simulations Corp
A4:FB:8D	Hangzhou Dunchong Technology Co.Ltd
00:75:E1	Ampt, LLC
CC:04:B4	Select Comfort
28:4F:CE	Liaoning Wontel Science and Technology Development Co.,Ltd.
0C:C8:1F	Summer Infant, Inc.
D8:69:60	Steinsvik
44:2A:FF	E3 Technology, Inc.
0C:93:01	PT. Prasimax Inovasi Teknologi
60:69:9B	isepos GmbH
B8:30:A8	Road-Track Telematics Development
54:21:60	Resolution Products
88:46:2A	Telechips Inc.
A8:97:DC	IBM
E8:DE:27	TP-LINK TECHNOLOGIES CO.,LTD.
FC:22:9C	Han Kyung I Net Co.,Ltd.
14:86:92	TP-LINK TECHNOLOGIES CO.,LTD.
18:32:A2	LAON TECHNOLOGY CO., LTD.
68:54:ED	Alcatel-Lucent - Nuage
98:5C:93	SBG Systems SAS
64:E5:99	EFM Networks
F4:99:AC	WEBER Schraubautomaten GmbH
8C:C7:D0	zhejiang ebang communication co.,ltd
70:82:0E	as electronics GmbH
DC:2B:CA	Zera GmbH
50:8D:6F	CHAHOO Limited
68:83:1A	Pandora Mobility Corporation
D4:22:3F	Lenovo Mobile Communication Technology Ltd.
08:68:D0	Japan System Design
10:3D:EA	HFC Technology (Beijing) Ltd. Co.
E8:E8:75	iS5 Communications Inc.
2C:7B:5A	Milper Ltd
18:5A:E8	Zenotech.Co.,Ltd
E0:AE:ED	LOENK
D4:EE:07	HIWIFI Co., Ltd.
90:82:60	IEEE 1904.1 Working Group
FC:AD:0F	QTS NETWORKS
98:4C:04	Zhangzhou Keneng Electrical Equipment Co Ltd
CC:04:7C	G-WAY Microwave
44:F8:49	Union Pacific Railroad
1C:FA:68	TP-LINK TECHNOLOGIES CO.,LTD.
D0:BE:2C	CNSLink Co., Ltd.
28:18:78	Microsoft Corporation
E4:57:A8	Stuart Manufacturing, Inc.
24:81:AA	KSH International Co., Ltd.
78:99:66	Musilab Electronics (DongGuan)Co.,Ltd.
EC:2C:49	University of Tokyo
CC:5D:57	Information  System Research Institute,Inc.
1C:37:BF	Cloudium Systems Ltd.
24:95:04	SFR
30:89:99	Guangdong East Power Co.,
D4:A4:99	InView Technology Corporation
AC:41:22	Eclipse Electronic Systems Inc.
A0:73:FC	Rancore Technologies Private Limited
84:62:23	Shenzhen Coship Electronics Co., Ltd.
A4:E9:91	SISTEMAS AUDIOVISUALES ITELSIS S.L.
84:F4:93	OMS spol. s.r.o.
38:67:93	Asia Optical Co., Inc.
BC:D1:77	TP-LINK TECHNOLOGIES CO.,LTD.
C8:B3:73	Cisco-Linksys, LLC
98:30:71	DAIKYUNG VASCOM
0C:04:00	Jantar d.o.o.
C0:43:01	Epec Oy
68:7C:D5	Y Soft Corporation, a.s.
E0:7C:62	Whistle Labs, Inc.
FC:44:99	Swarco LEA d.o.o.
0C:84:84	Zenovia Electronics Inc.
5C:F3:70	CC&C Technologies, Inc
A0:1C:05	NIMAX TELECOM CO.,LTD.
F8:0D:EA	ZyCast Technology Inc.
18:00:DB	Fitbit Inc.
50:A7:15	Aboundi, Inc.
FC:35:E6	Visteon corp
D8:66:C6	Shenzhen Daystar Technology Co.,ltd
18:36:FC	Elecsys International Corporation
F4:81:39	CANON INC.
D4:0B:B9	Solid Semecs bv.
74:8E:08	Bestek Corp.
B8:C8:55	Shanghai GBCOM Communication Technology Co.,Ltd.
C4:7D:FE	A.N. Solutions GmbH
E0:31:D0	SZ Telstar CO., LTD
70:C6:AC	Bosch Automotive Aftermarket
2C:69:BA	RF Controls, LLC
DC:57:26	Power-One
2C:24:5F	Babolat VS
D4:64:F7	CHENGDU USEE DIGITAL TECHNOLOGY CO., LTD
A4:7A:CF	VIBICOM COMMUNICATIONS INC.
CC:3C:3F	SA.S.S. Datentechnik AG
90:56:92	Autotalks Ltd.
0C:2A:E7	Beijing General Research Institute of Mining and Metallurgy
DC:D5:2A	Sunny Heart Limited
C4:C7:55	Beijing HuaqinWorld Technology Co.,Ltd
9C:79:AC	Suntec Software(Shanghai) Co., Ltd.
F8:DF:A8	zte corporation
AC:A4:30	Peerless AV
B4:AB:2C	MtM Technology Corporation
74:37:2F	Tongfang Shenzhen Cloudcomputing Technology Co.,Ltd
BC:51:FE	Swann communications Pty Ltd
D4:0F:B2	Applied Micro Electronics AME bv
74:FE:48	ADVANTECH CO., LTD.
D0:B4:98	Robert Bosch LLC Automotive Electronics
80:B9:5C	ELFTECH Co., Ltd.
E8:5A:A7	LLC Emzior
24:2F:FA	Toshiba Global Commerce Solutions
A0:BA:B8	Pixon Imaging
9C:E1:D6	Junger Audio-Studiotechnik GmbH
E4:E4:09	LEIFHEIT AG
00:4D:32	Andon Health Co.,Ltd.
C4:6D:F1	DataGravity
28:D2:44	LCFC(HeFei) Electronics Technology Co., Ltd.
AC:E8:7E	Bytemark Computer Consulting Ltd
60:CD:C5	Taiwan Carol Electronics., Ltd
60:C5:A8	Beijing LT Honway Technology Co.,Ltd
B4:DF:3B	Chromlech
A4:6E:79	DFT System Co.Ltd
94:DE:80	GIGA-BYTE TECHNOLOGY CO.,LTD.
C8:8A:83	Dongguan HuaHong Electronics Co.,Ltd
0C:C6:55	Wuxi YSTen Technology Co.,Ltd.
D4:10:CF	Huanshun Network Science and Technology Co., Ltd.
B8:04:15	Bayan Audio
84:C8:B1	Incognito Software Systems Inc.
64:5A:04	Chicony Electronics Co., Ltd.
5C:89:D4	Beijing Banner Electric Co.,Ltd
98:4C:D3	Mantis Deposition
8C:4C:DC	PLANEX COMMUNICATIONS INC.
D0:63:B4	SolidRun Ltd.
2C:3B:FD	Netstor Technology Co., Ltd.
F0:73:AE	PEAK-System Technik
68:4C:A8	Shenzhen Herotel Tech. Co., Ltd.
F4:47:2A	Nanjing Rousing Sci. and Tech. Industrial Co., Ltd
18:52:53	Pixord Corporation
FC:A9:B0	MIARTECH (SHANGHAI),INC.
80:D7:33	QSR Automations, Inc.
8C:33:30	EmFirst Co., Ltd.
8C:0C:90	Ruckus Wireless
08:E5:DA	NANJING FUJITSU COMPUTER PRODUCTS CO.,LTD.
58:84:E4	IP500 Alliance e.V.
04:E9:E5	PJRC.COM, LLC
70:38:11	Invensys Rail
AC:E6:4B	Shenzhen Baojia Battery Technology Co., Ltd.
30:32:94	W-IE-NE-R Plein & Baus GmbH
EC:47:3C	Redwire, LLC
54:81:AD	Eagle Research Corporation
7C:82:2D	Nortec
74:5F:AE	TSL PPL
84:62:A6	EuroCB (Phils), Inc.
80:FA:5B	CLEVO CO.
E4:F3:65	Time-O-Matic, Inc.
18:55:0F	Cisco SPVTG
1C:91:79	Integrated System Technologies Ltd
38:F5:97	home2net GmbH
38:66:45	OOSIC Technology CO.,Ltd
D0:DF:B2	Genie Networks Limited
80:8B:5C	Shenzhen Runhuicheng Technology Co., Ltd
04:58:6F	Sichuan Whayer information industry Co.,LTD
44:9B:78	The Now Factory
D0:52:A8	Physical Graph Corporation
34:F6:2D	SHARP Corporation
C4:EB:E3	RRCN SAS
4C:1A:95	Novakon Co., Ltd.
C0:4A:00	TP-LINK TECHNOLOGIES CO.,LTD.
9C:31:78	Foshan Huadian Intelligent Communications Teachnologies Co.,Ltd
48:BE:2D	Symanitron
38:E5:95	Shenzhen Gongjin Electronics Co.,Ltd
B8:60:91	Onnet Technologies and Innovations LLC
20:1A:06	COMPAL INFORMATION (KUNSHAN) CO., LTD.
D4:CA:6E	u-blox AG
C0:11:A6	Fort-Telecom ltd.
B8:DA:F1	Strahlenschutz- Entwicklungs- und Ausruestungsgesellschaft mbH
1C:11:E1	Wartsila Finland Oy
50:46:5D	ASUSTek COMPUTER INC.
74:BF:A1	HYUNTECK
F8:AA:8A	Axview Technology (Shenzhen) Co.,Ltd
58:94:CF	Vertex Standard LMR, Inc.
2C:5A:A3	PROMATE ELECTRONIC CO.LTD
B4:00:9C	CableWorld Ltd.
80:3F:D6	bytes at work AG
64:5F:FF	Nicolet Neuro
28:29:D9	GlobalBeiMing technology (Beijing)Co. Ltd
18:9A:67	CSE-Servelec Limited
38:A5:B6	SHENZHEN MEGMEET ELECTRICAL CO.,LTD
E4:3F:A2	Wuxi DSP Technologies Inc.
00:FD:4C	NEVATEC
60:45:BD	Microsoft
9C:54:CA	Zhengzhou VCOM Science and Technology Co.,Ltd
38:8A:B7	ITC Networks
BC:C2:3A	Thomson Video Networks
00:BF:15	Genetec Inc.
20:F8:5E	Delta Electronics
68:CE:4E	L-3 Communications Infrared Products
68:B6:FC	Hitron Technologies. Inc
7C:16:0D	Saia-Burgess Controls AG
A4:D1:8F	Shenzhen Skyee Optical Fiber Communication Technology Ltd.
0C:56:5C	HyBroad Vision (Hong Kong) Technology Co Ltd
64:7C:34	Ubee Interactive Corp.
64:9F:F7	Kone OYj
4C:06:8A	Basler Electric Company
E0:A3:0F	Pevco
5C:17:37	I-View Now, LLC.
04:9C:62	BMT Medical Technology s.r.o.
C4:BA:99	I+ME Actia Informatik und Mikro-Elektronik GmbH
0C:2A:69	electric imp, incorporated
BC:81:1F	Ingate Systems
34:E0:CF	zte corporation
80:1D:AA	Avaya Inc
6C:40:C6	Nimbus Data Systems, Inc.
50:3F:56	Syncmold Enterprise Corp
D0:4C:C1	SINTRONES Technology Corp.
DC:9F:A4	Nokia Corporation
44:C3:9B	OOO RUBEZH NPO
58:C2:32	NEC Corporation
D8:C6:91	Hichan Technology Corp.
7C:02:BC	Hansung Electronics Co. LTD
18:48:D8	Fastback Networks
70:23:93	fos4X GmbH
D8:AF:F1	Panasonic Appliances Company
58:EC:E1	Newport Corporation
14:35:8B	Mediabridge Products, LLC.
34:99:6F	VPI Engineering
24:10:64	Shenzhen Ecsino Tecnical Co. Ltd
10:D1:DC	INSTAR Deutschland GmbH
D8:16:0A	Nippon Electro-Sensory Devices
58:69:6C	Fujian Ruijie Networks co, ltd
F4:54:33	Rockwell Automation
EC:93:27	MEMMERT GmbH + Co. KG
1C:43:EC	JAPAN CIRCUIT CO.,LTD
BC:28:D6	Rowley Associates Limited
F0:5F:5A	Getriebebau NORD GmbH and Co. KG
00:95:69	LSD Science and Technology Co.,Ltd.
34:C8:03	Nokia Corporation
50:11:EB	SilverNet Ltd
5C:D4:1B	UCZOON Technology Co., LTD
78:3C:E3	Kai-EE
08:68:EA	EITO ELECTRONICS CO., LTD.
5C:4A:26	Enguity Technology Corp
28:9E:DF	Danfoss Turbocor Compressors, Inc
50:05:3D	CyWee Group Ltd
4C:64:D9	Guangdong Leawin Group Co., Ltd
7C:B0:3E	OSRAM GmbH
14:B1:C8	InfiniWing, Inc.
C0:49:3D	MAITRISE TECHNOLOGIQUE
34:A7:BA	Fischer International Systems Corporation
AC:D3:64	ABB SPA, ABB SACE DIV.
38:F8:B7	V2COM PARTICIPACOES S.A.
B4:82:55	Research Products Corporation
2C:75:0F	Shanghai Dongzhou-Lawton Communication Technology Co. Ltd.
B4:04:18	Smartchip Integrated Inc.
F4:EA:67	Cisco Systems, Inc
D0:AE:EC	Alpha Networks Inc.
3C:98:BF	Quest Controls, Inc.
D0:57:85	Pantech Co., Ltd.
04:5C:06	Zmodo Technology Corporation
50:4A:5E	Masimo Corporation
38:BF:33	NEC CASIO Mobile Communications
A0:41:A7	NL Ministry of Defense
34:2F:6E	Anywire corporation
E8:6D:6E	voestalpine SIGNALING Fareham Ltd.
F8:D4:62	Pumatronix Equipamentos Eletronicos Ltda.
54:53:ED	Sony Corporation
94:00:70	Nokia Corporation
6C:3A:84	Shenzhen Aero-Startech. Co.Ltd
44:2B:03	Cisco Systems, Inc
78:1C:5A	SHARP Corporation
E4:C6:E6	Mophie, LLC
